,FTitle,STitle,Sting
1,283,239,22
2,283,310,22
4,283,66,22
5,283,251,22
9,463,97,58
10,463,97,58
11,463,97,58
12,463,160,58
15,110,168,54
19,263,273,25
20,263,18,25
21,263,372,25
22,263,344,25
24,56,373,52
25,56,141,52
26,56,141,52
27,56,158,52
30,280,315,36
31,280,379,36
32,280,349,36
33,280,455,36
34,280,353,36
35,280,51,36
36,280,87,36
38,361,302,31
39,361,430,31
40,361,430,31
41,361,265,31
42,361,177,31
43,361,402,31
44,361,157,31
45,361,260,31
49,102,284,41
50,102,437,41
51,102,437,41
52,102,347,41
53,102,347,41
54,102,124,41
55,102,124,41
56,102,148,41
57,102,169,41
58,102,92,41
60,62,36,16
61,62,83,16
63,405,258,48
64,405,23,48
65,405,23,48
67,253,220,47
68,253,220,47
69,253,307,47
70,253,307,47
71,253,355,47
76,447,48,18
77,447,130,18
78,447,130,18
79,447,170,18
80,447,187,18
81,447,187,18
82,447,236,18
85,342,359,68
88,451,407,29
89,451,207,29
90,451,449,29
92,49,223,37
95,383,221,46
98,212,251,14
101,188,172,20
102,188,192,20
103,188,336,20
105,380,45,39
106,380,456,39
108,434,95,51
109,434,99,51
112,133,259,35
113,133,259,35
114,133,335,35
116,404,299,26
117,404,332,26
118,404,369,26
119,404,112,26
120,404,203,26
121,404,372,26
122,404,453,26
131,412,184,40
135,50,388,21
136,50,29,21
138,50,306,21
139,50,4,21
140,50,389,21
141,50,185,21
144,197,279,49
145,197,34,49
147,339,151,23
150,140,195,42
154,334,266,82
155,334,266,82
163,227,354,33
165,227,369,33
168,333,51,19
169,333,51,19
170,333,227,19
171,333,204,19
172,333,360,19
176,3,176,50
178,10,377,0
179,10,370,0
180,10,384,0
181,10,19,0
182,10,117,0
183,10,360,0
184,10,218,0
185,10,465,0
186,10,297,0
187,10,418,0
188,10,180,0
189,10,417,0
190,10,394,0
191,10,409,0
193,348,397,60
194,348,76,60
196,129,386,8
197,129,400,8
198,129,312,8
199,129,90,8
200,129,393,8
201,129,139,8
202,129,289,8
203,129,211,8
204,129,55,8
205,129,351,8
206,129,323,8
207,129,75,8
208,129,341,8
209,129,68,8
211,274,191,13
212,274,123,13
213,274,237,13
214,274,318,13
215,274,14,13
216,274,74,13
217,274,125,13
218,274,246,13
219,274,392,13
220,274,215,13
221,274,152,13
222,274,161,13
223,274,162,13
224,274,85,13
225,274,385,13
226,274,426,13
227,274,37,13
229,325,272,67
230,325,403,67
232,390,425,15
233,390,444,15
234,390,79,15
235,390,464,15
236,390,343,15
237,390,149,15
238,390,228,15
239,390,75,15
240,390,398,15
241,390,42,15
242,390,115,15
243,390,364,15
246,292,33,17
247,292,68,17
248,292,213,17
249,292,213,17
250,292,8,17
251,292,358,17
252,292,270,17
253,292,193,17
254,292,190,17
255,292,37,17
256,292,75,17
257,292,435,17
